mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
103.1977,1.8867,237.1066,11.5546,548.1099,7.5054,1701.8668,723.4629
327.9937,10.8772,362.8964,8.0596,633.1558,0.7351,1449.5582,289.6878
242.0465,0.1631,318.7061,1.906,514.1254,3.102,1628.5713,1126.9899
234.3719,3.071,305.9896,2.6976,615.0723,0.8439,1528.3428,331.9764
298.5203,0.7412,493.5366,11.2345,555.4403,1.0438,1472.4245,348.0739
252.2845,3.031,299.3631,2.7231,546.97,6.946,1661.3657,942.7553
134.8516,0.2154,254.6608,7.3813,536.9447,0.7977,1709.891,599.4588
284.8264,1.2171,378.2972,6.9146,567.8014,13.668,1544.5412,225.7096
345.0325,11.0324,360.0041,6.433,645.822,68.0617,1539.0576,391.5098
304.6292,5.3151,355.5832,8.0065,597.8946,1.9633,1511.5242,261.1272
274.3316,6.8584,487.6453,10.8475,523.2993,5.7129,1465.5546,457.9771
198.919,4.3306,427.646,16.5098,502.0852,0.754,1490.345,476.4329
337.5863,1.4311,527.3436,8.5019,612.1612,7.3541,1441.0287,228.6424
275.6799,2.1661,456.3643,10.0416,548.0174,7.0172,1426.927,362.4718
346.4104,6.3607,405.3675,67.9075,642.1661,87.5336,1461.5449,294.7598
144.6429,2.056,252.6306,2.7331,567.1987,2.5807,1711.6548,652.2905
223.0831,15.1999,302.6432,19.9196,513.8392,12.1295,1634.3073,415.8015
286.2606,0.1896,413.4084,0.3736,550.3678,3.748,1463.5374,325.384
319.495,0.7927,493.7927,5.9119,601.7148,25.9835,1437.9334,251.6723
159.3295,2.9742,240.5805,1.7184,570.0303,10.5376,1727.6896,730.3308
99.7898,0.0755,212.375,22.0537,524.0421,10.9641,1717.8008,642.6442
278.4491,3.1493,489.3967,6.1282,552.0338,13.4277,1476.3312,298.1131
330.2079,2.5257,480.6684,19.3512,634.238,7.7886,1503.6409,321.5571
346.609,1.2584,370.9664,17.1043,613.9741,1.4579,1505.5915,335.447
341.1045,1.6542,435.3996,19.2052,649.0328,68.0842,1450.0578,256.7052
276.0414,1.9239,434.5527,0.2299,539.8173,23.5542,1475.3204,274.2484
299.1791,0.8687,457.2456,1.4358,542.2696,33.3242,1458.7084,290.3023
301.7278,0.8635,528.5529,20.9293,588.1925,8.3486,1425.5844,237.8614
285.4282,3.8516,520.9651,2.1518,583.6123,7.0282,1474.3,339.8534
187.9642,21.9595,275.0781,7.0512,526.0334,14.8181,1705.9736,674.8715
251.6377,3.1015,309.3006,1.3422,554.8578,13.975,1656.7205,978.1837
136.6691,8.1757,215.6734,3.7894,525.8763,28.4187,1721.1619,863.9884
181.4866,0.2922,315.3385,10.1425,604.6328,54.9334,1572.7969,476.1115
257.5949,2.183,380.1065,7.858,475.7364,4.5999,1546.803,422.3589
172.6551,1.6902,222.2446,0.6553,447.5735,3.3639,1686.9818,1171.0744
63.8481,0.2169,102.0137,8.5116,528.1169,16.8406,1735.0761,806.9244
184.1393,1.9329,295.8507,8.314,583.5575,4.7898,1732.9709,666.2385
320.1273,0.6697,532.8231,6.8654,593.466,10.0499,1478.5189,290.8906
70.6355,0.0526,251.2603,44.289,540.3336,16.1249,1735.5454,774.1685
