mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
336.5565,1.7637,357.6905,12.1558,542.9757,2.1889,775.074,89.1563
187.4997,0.2165,251.5672,2.1556,563.6108,15.4428,789.9769,188.2498
171.7761,0.3714,347.6073,12.7265,530.4255,15.8922,980.5668,149.6169
342.0772,1.9642,421.3249,1.9982,495.0628,3.0741,820.6815,58.2418
192.9403,3.1976,342.3341,2.5835,524.7336,13.5369,904.4561,207.7136
106.1553,1.5053,234.2432,3.2289,305.4349,8.8118,1315.3451,574.7423
195.8997,10.3206,234.4459,9.5804,477.0945,17.2186,1008.2084,445.3139
282.5337,19.378,424.0862,1.6213,535.4131,6.8826,852.8186,130.797
96.5573,87.7807,225.7814,132.4803,333.0455,47.255,934.8437,283.8735
211.1384,6.4147,311.2132,7.2509,562.0415,31.4558,975.9499,146.582
193.1312,18.7996,250.7961,30.1252,434.6188,5.4175,952.7633,173.3197
267.0909,9.9,298.0198,1.3142,530.421,22.0479,1007.1125,245.29
210.7026,2.2062,410.605,4.7655,594.7138,9.3713,967.8623,74.1853
178.6173,0.998,283.7363,0.1436,402.4412,1.8144,1293.6572,161.1748
194.1771,0.4195,247.8574,3.2461,352.5943,13.0555,1139.6222,334.7954
306.1845,3.7044,407.0881,2.6066,569.9547,21.2058,792.8247,78.9177
118.7047,1.4905,244.9341,0.2972,343.1041,1.3218,1338.3195,181.3071
108.0665,1.7282,233.0881,0.2232,309.9299,2.976,1386.7553,186.6682
231.284,4.459,392.1473,46.3344,570.3431,46.003,901.4349,160.658
271.5288,1.2033,312.2936,10.6694,559.7005,12.9422,854.5285,157.8613
274.4345,5.3297,364.8722,4.6872,494.3766,17.3832,916.5724,78.5858
248.6766,0.647,332.2774,1.995,490.6952,7.607,1019.2983,91.511
209.8515,21.9834,336.0581,57.2728,608.6001,7.1672,829.2844,277.1716
320.3697,1.0698,366.6691,15.542,484.3028,1.7374,841.4673,54.4521
210.4818,2.2062,303.9101,10.8019,443.2162,53.7279,932.4107,120.2139
246.1521,0.9168,369.9984,3.1259,589.7292,2.678,737.8612,80.0175
251.1412,3.045,296.3916,0.0165,476.4251,11.3808,1095.2216,145.6378
151.0811,4.875,271.2101,5.0862,495.7951,6.6765,1097.7817,237.5053
350.691,19.7167,359.4052,23.6262,514.3186,21.819,816.4475,55.7577
338.1699,4.0204,427.4327,1.9766,496.1268,1.9857,783.3988,39.2784
164.8928,0.1185,293.5208,0.0111,372.1234,0.83,1364.4957,53.0033
215.2603,0.1652,235.5905,0.2634,426.6835,6.7606,1082.4989,203.0073
303.9659,1.2515,359.0768,4.552,415.0321,28.6635,836.3446,69.8253
222.0789,3.4838,274.5232,2.3392,504.7029,17.8956,1013.3457,200.6275
239.487,0.6556,413.6672,5.3639,553.0298,4.2753,962.2526,50.8869
199.945,2.8725,339.1354,10.6149,523.9209,8.0565,978.4387,180.9307
307.0813,6.946,398.7275,6.7396,473.6268,9.1071,785.9808,95.1632
216.6064,1.8153,334.248,3.5443,597.9872,17.0618,864.7702,140.7584
291.6627,82.2891,364.844,2.1263,448.2149,55.0746,814.0493,83.2772
199.8876,1.1771,296.3273,4.016,502.1252,3.7732,1015.7493,213.8359
185.8484,0.447,389.9018,2.3545,531.7673,3.3587,1079.5364,61.4334
237.4547,5.333,346.1747,8.9919,547.6552,23.2064,1019.3111,154.4657
255.6874,59.3213,386.9415,11.8212,486.7693,9.7505,938.2471,119.1842
307.2568,0.2527,344.3841,6.3873,473.0284,1.026,831.6585,46.9403
164.3814,1.0552,301.6619,8.053,501.3635,10.1639,1003.3308,280.8913
243.2508,0.3507,291.6779,1.526,464.3971,1.3795,1094.4618,227.18
218.3151,3.1736,315.8946,4.0984,519.3986,6.3286,1029.2565,105.5861
180.3601,1.5012,259.746,4.3262,486.5196,2.1185,1093.7992,208.1861
132.6504,0.1208,281.185,0.7896,330.2011,1.4112,1385.7738,158.5364
183.2629,6.9785,253.9276,9.1306,501.3867,4.4349,969.1048,182.5365
190.848,0.632,287.5609,0.1353,407.8066,8.9602,1264.3232,196.9648
288.7262,5.5431,464.9738,10.9641,481.1954,4.481,864.2947,61.1775
272.1385,4.3378,391.9402,3.3651,429.9448,81.0456,926.3524,74.3907
207.0192,4.3703,293.145,17.4282,499.7671,0.7692,733.4618,48.3163
349.032,3.5057,404.3511,0.6124,500.0171,3.2399,799.4282,69.1151
236.3701,14.0893,283.6849,0.5196,462.2793,0.9242,957.5966,188.0206
171.3345,1.9963,179.0249,6.6097,374.767,6.8035,1189.0603,165.6017
135.5238,1.5697,216.8561,0.9243,369.961,1.8675,1310.258,303.3742
92.826,1.4999,241.0119,0.073,290.2576,0.7029,1375.8388,311.2085
160.0138,1.5292,250.3787,0.9055,457.3686,11.4301,1062.2376,189.1431
213.3894,0.3037,294.2349,4.3595,467.9361,2.144,1104.4046,130.0036
219.5743,0.592,388.1561,2.9791,581.7868,11.3562,962.9382,124.2058
246.571,18.1471,306.7621,1.401,474.4378,4.6945,943.7836,276.6353
277.6827,1.5903,355.2643,2.0149,481.4779,0.4649,760.3843,40.1662
181.4112,1.0268,310.4448,24.1815,554.4994,11.2135,983.0624,114.0663
122.3986,0.9364,231.1157,0.7195,318.2822,1.5769,1327.9398,289.6336
133.0664,0.3088,271.8156,0.783,319.345,7.929,1323.0587,489.4363
312.5047,4.4091,366.1522,0.7661,457.8588,15.3781,867.94,81.1678
228.1974,1.4267,276.3875,0.5303,477.4999,1.2464,1066.0465,178.6786
234.1004,35.3728,256.3372,14.7669,463.0432,5.8391,784.8142,650.0854
336.3486,3.1741,398.9524,14.3012,494.1379,2.0766,818.0367,61.0933
225.5607,0.6968,290.2299,1.2322,468.3594,0.4691,1092.7728,222.0838
288.7178,0.2684,368.1144,13.4978,459.4334,16.5298,818.4548,65.773
197.9688,2.377,373.8198,3.7452,456.9583,3.3737,1031.2083,85.236
224.554,3.807,374.5002,30.8571,619.116,21.5939,891.3514,141.6083
220.1631,4.9584,250.3329,2.9986,497.9256,21.9973,1113.7603,225.0115
227.3813,0.3148,422.4391,23.6569,596.0615,50.6716,924.5842,150.7178
181.7245,0.6949,383.1207,3.838,577.8121,14.4029,949.7555,111.032
271.2468,0.5896,351.857,2.7456,502.5497,8.8855,839.7234,110.977
194.0959,12.6433,246.0143,3.9164,373.1853,4.306,1069.3332,247.1525
237.3807,0.878,387.1093,4.2498,546.3528,1.8499,1030.1018,88.9171
214.7442,3.4699,287.7983,0.5441,548.2441,4.767,920.6119,159.0577
176.3898,0.957,348.4513,16.1949,524.1286,14.1395,902.6872,137.57
166.3538,8.7214,202.643,3.1364,480.2355,2.115,983.4915,186.7938
151.4295,0.3715,235.9951,0.1999,315.31,4.7648,1286.9571,549.7091
