,charge transfer/e-
1160,-0.019144
1161,-0.008051
1162,-0.094401
1163,-0.052065
1164,-0.053511
1165,-0.02207
1166,-0.009885
1167,0.052181
1168,0.025179
1169,0.069084
1170,0.077291
1171,0.13219
1172,0.046199
1173,0.051708
1174,0.073335
1175,-0.038727
1176,0.032359
1177,-0.044784
1178,-0.091544
1179,0.158064
1180,0.05218
1181,-0.080708
1182,-0.11583
1183,-0.015845
1184,0.092237
1185,-0.000858
1186,-0.119595
1187,0.176587
1188,0.024909
1189,0.071634
1190,0.074271
1191,0.00663
1192,-0.008885
1193,0.053185
1194,-0.049595
1195,-0.114155
1196,-0.088343
1197,-0.086063
1198,0.061093
1199,-0.061743
1200,0.017697
1201,-0.044093
1202,0.152882
1203,0.046213
1204,0.156319
1205,-0.138906
1206,-0.081299
1207,-0.064243
1208,-0.044081
1209,0.075234
1210,0.079662
1211,-0.067834
1212,-0.135269
1213,-0.105191
1214,-0.087421
1215,0.010826
1216,0.03514
1217,0.152567
1218,0.078167
1219,-0.084685
1220,0.041798
1221,-0.110129
1222,-0.172317
1223,-0.121006
1224,0.041941
1225,-0.010923
1226,0.034775
1227,-0.132879
1228,-0.073534
1229,-0.056541
1230,0.023847
1231,0.055485
1232,-0.138145
1233,0.056758
1234,-0.061231
1235,0.032619
1236,-0.027173
1237,0.153304
1238,0.050005
1239,-0.09814
1240,-0.062445
1241,-0.017481
1242,0.137448
1243,0.100723
1244,0.027696
1245,0.077655
1246,0.164113
1247,-0.087309
1248,0.076441
1249,0.080414
1250,0.026831
1251,0.039357
1252,-0.047471
1253,0.138327
1254,0.074476
1255,0.00965
1256,0.042068
1257,-0.046304
1258,-0.062424
1259,0.011456
1260,0.13096
1261,0.051167
1262,0.083349
1263,-0.089743
1264,0.026258
1265,0.169729
1266,0.031251
1267,-0.091628
1268,-0.034203
1269,0.161817
1270,0.080374
1271,0.003287
1272,-0.143332
1273,0.074196
1274,0.1613
1275,-0.079115
1276,0.084339
1277,0.030147
1278,-0.049759
1279,0.066287
1280,-0.07599
1281,-0.01635
1282,0.031282
1283,0.025242
1284,-0.083111
1285,-0.098498
1286,0.048153
1287,0.054116
1288,-0.100053
1289,0.130927
1290,0.073011
1291,0.019316
1292,-0.019319
1293,-0.056218
1294,0.05325
1295,-0.073366
1296,0.026996
1297,-0.129001
1298,0.045203
1299,-0.105181
1300,0.067158
1301,0.02582
1302,-0.057184
1303,-0.000278
1304,0.035408
1305,-0.076928
1306,0.072171
1307,0.051451
1308,0.073646
1309,-0.080939
1310,-0.066825
1311,0.070702
1312,0.066032
1313,0.011431
1314,-0.060016
1315,-0.023601
1316,-0.104157
1317,0.06475
1318,0.133574
1319,-0.016372
1320,0.157476
1321,0.052528
1322,-0.117778
1323,-0.04968
1324,-0.05897
1325,-0.0347
1326,0.036365
1327,-0.073916
1328,-0.121148
1329,0.017373
