mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
384.0407,2.2463,465.9679,1.0178,589.0967,11.6591,1788.5743,289.5626
327.5135,55.3042,353.9539,15.7747,410.0444,17.9282,2032.1355,525.6884
311.5629,0.872,421.6088,9.8656,521.8949,59.1348,1754.4862,267.6862
394.4362,2.089,484.5297,8.1253,585.5129,8.9672,1809.8556,295.5136
351.5823,16.7133,461.7588,7.1881,506.8863,8.0123,2031.7376,575.8149
223.2366,37.5863,255.7783,16.389,402.8463,10.2907,2066.7089,367.9619
390.6046,21.9387,417.0021,16.0456,517.9911,0.5099,2008.347,519.8115
328.5444,1.1655,491.0605,16.8735,559.2533,13.1898,1756.0366,247.365
420.1625,1.7165,444.3634,4.9524,503.4019,10.3469,2043.5481,527.458
236.8442,4.9032,425.9954,4.695,468.5234,0.4746,1875.9495,300.6369
248.2227,1.4946,267.1772,9.1386,338.9861,0.2386,2133.3539,302.3904
339.7069,1.2024,453.8521,6.2626,574.8735,52.536,1728.4145,214.5981
353.4367,0.9304,483.7522,9.5765,570.3732,6.5624,1755.9685,271.5091
393.7091,14.4164,434.4908,5.1963,486.9795,23.5615,2011.5398,667.0122
346.6055,13.8116,365.4506,16.6482,475.7291,2.6315,2019.4483,471.718
276.6298,2.7834,390.1369,15.5198,442.7024,0.9026,1935.7542,278.4225
236.0204,5.4147,414.0333,7.0855,442.7358,33.5741,1856.6692,262.5741
342.1744,1.0042,446.9223,23.5935,578.159,40.344,1767.0418,308.4258
338.4199,64.4076,448.5747,4.851,509.0492,22.9059,2030.1163,569.8137
370.7721,5.5895,443.1436,18.7559,552.3267,0.8141,1738.975,322.9678
336.4432,2.7303,403.4163,2.486,519.4181,2.3082,1837.5583,320.5785
356.5964,0.5704,459.9532,4.5847,574.736,22.3524,1756.9524,281.6357
337.1205,2.2143,423.7172,3.7187,541.7409,6.847,1863.1643,337.6066
298.7202,6.6358,400.3922,9.7944,516.68,4.8285,1847.9827,363.7308
404.1569,2.5614,467.8446,4.6636,608.1703,10.3593,1779.3346,273.8867
409.0381,17.1717,411.008,3.2781,447.6622,16.8031,2021.0021,548.6479
336.1687,0.8677,505.1636,30.4691,544.9468,13.4774,1705.934,320.5127
328.5984,13.4703,367.225,3.7536,506.8738,0.595,2025.8495,517.1616
300.0558,45.1358,302.2599,3.4457,434.8968,12.8994,2048.5453,450.6291
290.742,9.6177,332.6082,13.1632,437.3602,6.1238,2049.6505,447.3302
312.3819,1.5545,425.8034,5.1889,530.0579,3.2985,1776.5948,261.8838
343.219,0.7304,470.9707,15.1687,551.5014,3.7938,1751.3311,317.0514
330.9464,275.2001,372.0568,12.5888,522.8773,4.6799,1853.8694,278.658
373.2584,39.9419,414.7967,6.7021,437.5554,3.8447,2036.9087,467.1541
349.8168,1.6889,365.9245,2.9377,507.872,0.9778,2026.284,528.6848
266.9204,20.1288,381.5601,57.0399,451.0408,4.6862,1894.7318,374.2276
271.9489,38.2532,329.9753,10.5687,410.3781,12.8487,2037.2313,484.3528
293.1295,9.448,303.6113,4.8952,436.008,2.3929,2029.7465,442.0372
345.6172,0.5368,440.3539,11.8233,557.5082,9.5909,1762.9089,248.0088
380.6441,19.2814,395.3119,1.449,403.0083,15.2232,2049.7416,463.7321
310.9687,1.8806,413.7313,5.8221,497.7312,17.9027,1870.7752,309.2947
370.6482,6.1429,392.8337,14.4873,483.4251,3.8563,2032.6422,459.6915
382.189,92.3137,385.6892,27.6758,489.5516,2.5527,2015.1285,463.1742
314.0181,1.8163,439.0699,9.2447,543.9956,1.5977,1779.3495,288.7283
452.2723,12.8735,459.1636,1.003,534.8677,0.8001,1989.222,404.7593
321.0906,2.7314,402.1286,8.9512,547.7745,15.0968,1876.7261,344.2138
371.4568,54.4007,375.5493,15.4995,460.3075,24.3184,2029.7279,508.6219
285.9377,119.5754,419.4249,25.1985,495.4145,10.369,2007.8575,542.1558
272.7936,3.4372,438.8522,1.6554,472.4907,0.5217,1812.8666,267.3581
310.4676,38.538,320.7498,62.9012,507.5682,0.3255,2034.1221,557.9071
327.3442,3.313,414.4862,5.7443,523.1683,2.1662,1838.2974,274.3495
334.0636,1.0248,486.1878,36.154,546.1786,26.0368,1732.5385,246.4921
338.1524,45.5078,425.1893,4.5957,474.7163,4.7854,2017.2895,571.6919
400.4908,9.296,427.7628,6.6914,491.3279,5.5478,2018.1392,491.5273
351.0286,56.2798,407.2306,14.4787,491.0717,5.8439,2023.26,561.3347
317.371,3.9813,406.3124,9.6952,539.5653,27.5966,1808.6751,364.4427
352.6343,2.6046,445.0348,0.4159,563.6782,10.2621,1881.3942,399.1149
362.8938,49.5551,405.8169,20.6693,454.5744,5.5881,2027.1308,447.3411
320.9619,0.3603,347.3654,0.5447,446.3495,3.0509,2040.877,487.5015
432.3447,9.1432,456.3666,7.5009,502.4672,8.5657,2032.9228,536.7451
358.9685,8.2596,376.7752,16.4313,414.7246,9.4487,2032.7941,436.6827
304.9517,7.0369,329.0395,40.4846,440.6052,3.9564,2040.1761,504.6294
347.513,2.1972,443.0464,1.5754,591.0318,0.414,1856.7853,332.2558
346.4288,0.9427,475.6313,15.6868,552.0938,12.8254,1693.193,252.0079
257.7251,1.3736,419.6739,1.5198,463.1834,2.7082,1860.966,277.0306
260.6675,2.803,426.8367,0.1797,482.1364,1.0694,1882.4337,286.2533
322.9299,9.5402,350.0908,1.0315,500.6285,2.6036,2007.9587,479.5601
142.9486,81.7256,247.7736,33.1078,367.0463,10.4637,2079.8232,422.5418
362.375,3.2214,400.1425,44.1656,470.5944,11.6125,2018.7251,598.1273
383.573,4.399,469.4841,14.0848,568.5779,19.3793,1744.9087,287.8682
423.1639,4.2787,444.5168,12.9821,500.0192,4.0767,2000.5189,409.4215
252.0284,8.6776,404.1719,5.363,461.5247,19.0087,2013.3777,589.1559
354.0403,0.8908,442.1626,7.0903,552.2979,23.6134,1662.7525,230.9049
257.9569,2.1825,416.7366,2.5976,458.3769,1.1233,1855.8573,315.4664
321.1133,21.2136,394.7082,10.8513,445.6917,16.1862,2032.1839,582.1221
210.0442,27.4949,227.0888,46.6169,397.5666,1.205,2081.4201,413.9902
347.0168,18.0104,393.7292,4.7983,469.6093,3.3897,2016.133,509.6741
389.8682,30.4473,432.8908,12.5118,484.0472,8.3538,2033.1971,529.3869
342.2805,1.1015,453.058,2.6675,588.4916,4.2873,1736.3589,235.083
215.8551,27.0401,217.1597,26.7031,407.8835,2.3496,2075.9497,440.0799
282.4083,4.9189,406.9302,4.5559,464.9861,107.2898,1814.294,265.3531
325.2394,56.4074,424.8689,13.313,482.4069,11.9692,2022.848,546.3236
259.4862,2.4635,407.9852,2.8053,466.8776,0.188,1866.7577,287.7783
381.6678,65.0368,404.2146,16.4332,467.7102,6.5712,2030.125,527.284
325.7751,22.294,343.1503,17.1698,435.7754,1.3693,1999.3949,368.6999
370.0685,11.8573,416.562,7.8943,475.9629,5.1951,2028.5457,534.1106
187.085,20.0019,220.7961,4.026,324.3329,7.3904,2112.5834,320.6846
408.8825,11.0056,459.4839,9.5119,499.9659,5.6105,2027.3088,577.8064
314.6732,3.1928,421.7384,20.7992,522.7696,4.4645,1818.0984,276.6338
383.7882,3.7352,458.4516,6.1965,505.9189,8.6005,2040.7315,606.402
282.9255,6.5264,403.5932,15.2638,484.7829,4.0463,1864.5328,281.3268
339.9017,33.1533,352.2361,49.2268,434.7886,12.0235,1983.5575,457.4231
214.4893,43.498,228.509,74.9388,393.1508,2.3876,2061.0876,396.9845
333.7304,0.2383,500.4535,8.6874,549.9711,5.4562,1719.8737,238.1025
318.063,0.9394,460.2862,0.796,523.2447,8.9528,1785.8935,284.8967
336.5258,15.4665,485.3445,13.4276,549.7391,6.0762,1731.2138,320.7006
322.9531,1.1241,458.0915,1.6359,521.4885,16.1729,1767.5147,275.2735
