,Gibbs free energy/eV
892,-2.56718
893,-2.09958
894,-2.56839
895,-2.49265
896,-2.42896
897,-2.90514
898,-2.07032
899,-2.18746
900,-1.08757
901,-2.02041
902,-2.83228
903,-2.00956
904,-1.9116
905,-2.72232
906,-0.961947
907,-0.895403
908,-2.0691
909,-2.1572
910,-2.77278
911,-1.57501
912,-2.54124
913,-2.41869
914,-2.95449
915,-2.41244
916,-2.46358
917,-1.62863
918,-2.46949
919,-2.50206
920,-2.41194
921,-1.61184
922,-1.76307
923,-2.64375
924,-2.18722
925,-2.34878
926,-1.97519
927,-2.05513
928,-2.12313
929,-3.05605
930,-1.86248
931,-1.26032
932,-2.46943
933,-2.79736
934,-2.67709
935,-1.31367
936,-2.35297
937,-2.59683
938,-2.83574
939,-2.5721
940,-1.72879
941,-2.26628
942,-2.57801
943,-2.3969
944,-2.92878
945,-2.53746
946,-2.6861
947,-1.14274
948,-2.28438
949,-2.74875
950,-2.79734
951,-2.22052
952,-3.0959
953,-1.80355
954,-2.39644
955,-2.90175
956,-2.35394
957,-2.35138
958,-2.88596
959,-1.68129
960,-2.32118
961,-2.24063
962,-2.68987
963,-2.65156
964,-2.29998
965,-2.05104
966,-2.8735
967,-2.16574
968,-2.5857
969,-0.913671
970,-2.44986
971,-1.59588
972,-2.75862
973,-2.51419
974,-2.56911
975,-1.77097
976,-2.59004
977,-2.15118
978,-3.15642
979,-1.18673
980,-3.08237
981,-2.14721
982,-2.80692
983,-2.14887
984,-0.66471
985,-2.22795
986,-2.32609
987,-1.37945
988,-2.26941
989,-3.07344
990,-1.33259
991,-2.57002
992,-1.74243
993,-2.28583
994,-1.23039
995,-2.54838
996,-2.53352
997,-1.47259
998,-2.10952
999,-2.44489
1000,-2.56702
1001,-2.49675
1002,-2.34305
1003,-2.36489
1004,-1.75692
1005,-2.37617
1006,-2.40483
1007,-2.45111
1008,-2.97423
1009,-1.14193
1010,-1.09997
1011,-1.25643
1012,-2.60079
1013,-2.78251
1014,-2.59446
1015,-2.87575
1016,-2.48745
1017,-2.87785
1018,-2.62214
1019,-2.42115
1020,-2.13227
1021,-1.76355
1022,-1.74679
1023,-1.38325
1024,-1.40733
1025,-0.841061
1026,-2.89188
1027,-2.02071
1028,-2.40391
1029,-2.13296
1030,-1.12644
1031,-2.94545
1032,-2.35043
1033,-2.34745
1034,-2.47454
1035,-3.18595
1036,-2.36302
1037,-2.50189
1038,-2.57894
1039,-2.67096
1040,-2.73661
1041,-2.50388
1042,-1.90231
1043,-2.76097
1044,-2.31783
1045,-0.615079
1046,-1.50916
1047,-3.05214
1048,-2.37557
1049,-2.56024
1050,-2.10196
1051,-2.3416
1052,-2.10953
1053,-2.26532
1054,-2.23668
1055,-1.71057
1056,-2.16828
1057,-2.81162
1058,-2.27969
1059,-2.10642
1060,-2.21868
1061,-2.58193
1062,-2.13038
1063,-3.00608
1064,-2.59981
1065,-2.37523
1066,-2.34882
1067,-2.38882
1068,-2.78872
1069,-2.26085
1070,-2.10166
1071,-2.71429
1072,-2.71809
1073,-2.54487
1074,-3.20316
1075,-2.51607
1076,-3.09466
1077,-2.37329
1078,-2.54001
1079,-2.37627
1080,-2.57174
1081,-2.28901
1082,-2.56284
1083,-2.85469
1084,-2.16844
1085,-2.47821
1086,-2.76777
1087,-2.57931
1088,-2.44998
1089,-2.28169
1090,-0.858955
1091,-2.48681
1092,-2.88756
1093,-2.44423
1094,-2.5059
1095,-2.11391
1096,-2.58159
1097,-1.25608
1098,-2.40692
1099,-1.13793
1100,-2.22736
1101,-2.44987
1102,-2.05176
1103,-2.30242
1104,-2.64857
1105,-1.59139
1106,-2.29478
1107,-1.55685
1108,-2.16294
1109,-2.59963
1110,-1.85554
1111,-2.56202
1112,-2.31856
1113,-2.11862
1114,-2.02978
1115,-2.91573
1116,-2.53515
1117,-2.50071
1118,-2.3245
1119,-2.73059
1120,-2.26025
1121,-2.99398
1122,-2.74941
1123,-2.27964
1124,-2.52245
1125,-2.21606
1126,-2.29663
1127,-2.58531
1128,-2.31066
1129,-2.58143
1130,-2.88685
1131,-2.20547
1132,-1.31199
1133,-0.915303
1134,-2.68277
1135,-2.39061
1136,-1.41979
1137,-2.47083
1138,-2.58195
1139,-2.5768
1140,-2.83331
1141,-1.9423
1142,-2.7913
1143,-1.69411
1144,-2.38254
1145,-2.31339
1146,-2.37213
1147,-1.99371
1148,-2.58702
1149,-2.13191
1150,-2.38319
1151,-2.27566
1152,-2.68824
1153,-2.80217
1154,-2.28104
1155,-2.66628
1156,-2.49979
1157,-2.16641
1158,-2.34565
1159,-1.6226
1160,-2.0355
1161,-2.2049
1162,-2.68629
1163,-2.39329
1164,-2.36273
1165,-1.71774
1166,-2.26353
1167,-2.16596
1168,-2.18737
1169,-2.33947
1170,-2.46412
1171,-0.782073
1172,-1.74729
1173,-1.37286
1174,-2.74969
1175,-1.95833
1176,-2.09477
1177,-2.14954
1178,-2.52737
1179,-0.758638
1180,-2.59476
1181,-2.62896
1182,-2.87299
1183,-1.92138
1184,-2.25178
1185,-1.87872
1186,-2.64542
1187,-0.944539
1188,-2.06426
1189,-2.45291
1190,-2.49852
1191,-2.17785
1192,-1.84948
1193,-1.36342
1194,-2.23649
1195,-2.3753
1196,-2.66393
1197,-2.66456
1198,-1.7012
1199,-2.68336
1200,-2.16737
1201,-2.34502
1202,-1.33625
1203,-2.45616
1204,-1.4069
1205,-2.81016
1206,-2.59266
1207,-2.24817
1208,-2.93202
1209,-1.9993
1210,-2.23659
1211,-2.6794
1212,-2.67597
1213,-2.86596
1214,-2.57474
1215,-2.3333
1216,-1.23896
1217,-1.23552
1218,-2.45543
1219,-2.48123
1220,-2.04087
1221,-2.65519
1222,-3.16245
1223,-2.76646
1224,-2.2105
1225,-1.79067
1226,-1.48795
1227,-2.63679
1228,-2.24969
1229,-2.15589
1230,-2.35194
1231,-1.31586
1232,-2.7888
1233,-2.55957
1234,-2.9964
1235,-2.18325
1236,-1.91431
1237,-0.873973
1238,-2.48671
1239,-2.87992
1240,-2.40609
1241,-2.35712
1242,-0.792021
1243,-2.26141
1244,-2.26434
1245,-2.20464
1246,-1.0531
1247,-2.7775
1248,-2.39633
1249,-2.13733
1250,-2.29155
1251,-2.07118
1252,-2.49631
1253,-0.738538
1254,-2.49708
1255,-2.23704
1256,-2.03393
1257,-2.29397
1258,-3.08679
1259,-2.24377
1260,-0.939792
1261,-2.05991
1262,-2.4891
1263,-2.63199
1264,-1.97762
1265,-1.13917
1266,-2.20169
1267,-2.45792
1268,-2.32963
1269,-0.78514
1270,-2.55901
1271,-1.57364
1272,-2.77504
1273,-2.33789
1274,-0.8008
1275,-2.56781
1276,-2.36818
1277,-1.66478
1278,-2.0786
1279,-2.33436
1280,-2.94901
1281,-2.28147
1282,-2.2552
1283,-2.1362
1284,-2.85234
1285,-2.5576
1286,-2.05849
1287,-2.55313
1288,-2.54451
1289,-0.848578
1290,-2.43947
1291,-2.19368
1292,-1.77972
1293,-2.77917
1294,-2.42911
1295,-2.21724
1296,-2.14781
1297,-2.49026
1298,-1.62092
1299,-2.65809
1300,-2.55852
1301,-2.20629
1302,-2.27497
1303,-2.1407
